school_name,division,city_state,type,conference,athletics_domain,status
Olivet Nazarene University,NAIA,"Bourbonnais,Illinois",Private,Chicagoland Collegiate Athletic Conference,olivet.edu,FOUND
Oregon Institute of Technology,NAIA,"Klamath Falls,Oregon",Public,Cascade Collegiate Conference,oregontechowls.com,FOUND
Ottawa University,NAIA,"Ottawa,Kansas",Private,Kansas Collegiate Athletic Conference,ottawabraves.com,FOUND
Ottawa University – Arizona,NAIA,"Phoenix,Arizona",Private,Golden State Athletic Conference,ottawabraves.com,FOUND
Our Lady of the Lake University,NAIA,"San Antonio,Texas",Private,Red River Athletic Conference,rattlerathletics.com,FOUND
Pacific Union College,NAIA,"Angwin,California",Private,California Pacific Conference,bushnellbeacons.com,FOUND
Park University,NAIA,"Parkville,Missouri",Private,Heart of America Athletic Conference,parkathletics.com,FOUND
Park University – Gilbert,NAIA,"Gilbert,Arizona",Private,Golden State Athletic Conference,parkathletics.com,FOUND
Paul Quinn College,NAIA,"Dallas,Texas",Private,Red River Athletic Conference,paulquinnathletics.com,FOUND
Penn State Schuylkill,NAIA,"Schuylkill Haven,Pennsylvania",Public,Eastern College Athletic Conference (ECAC),psuschuylkillathletics.com,FOUND
Peru State College,NAIA,"Peru,Nebraska",Public,Heart of America Athletic Conference,pscbobcats.com,FOUND
Philander Smith College,NAIA,"Little Rock,Arkansas",Private,HBCU Athletic Conference,philanderathletics.com,FOUND
Point University,NAIA,"West Point,Georgia",Private,Appalachian Athletic Conference,highpointpanthers.com,FOUND
Providence Christian College,NAIA,"Pasadena,California",Private,California Pacific Conference,seabeggars.com,FOUND
Reinhardt University,NAIA,"Waleska,Georgia",Private,Appalachian Athletic Conference,reinhardteagles.com,FOUND
Rochester University,NAIA,"Rochester Hills,Michigan",Private,Wolverine-Hoosier Athletic Conference,uofrathletics.com,FOUND
Rocky Mountain College,NAIA,"Billings,Montana",Private,Frontier Conference,gobattlinbears.com,FOUND
Rust College,NAIA,"Holly Springs,Mississippi",Private,HBCU Athletic Conference,rustathletics.com,FOUND
Saint Xavier University,NAIA,"Chicago,Illinois",Private,Chicagoland Collegiate Athletic Conference,sxucougars.com,FOUND
San Diego Christian College,NAIA,"Santee,California",Private,Great Southwest Athletic Conference,sdcc.edu,FOUND
Shawnee State University,NAIA,"Portsmouth,Ohio",Public,River States Conference,ssubears.com,FOUND
Siena Heights University,NAIA,"Adrian,Michigan",Private,Wolverine-Hoosier Athletic Conference,shusaints.com,FOUND
Simpson University,NAIA,"Redding,California",Private,California Pacific Conference,simpsonredhawks.com,FOUND
Southeastern University,NAIA,"Lakeland,Florida",Private,Sun Conference,nsusharks.com,FOUND
Southern Oregon University,NAIA,"Ashland,Oregon",Public,Cascade Collegiate Conference,souraiders.com,FOUND
Southern University at New Orleans,NAIA,"New Orleans,Louisiana",Public,HBCU Athletic Conference,sunoathletics.com,FOUND
Southwestern Christian University,NAIA,"Bethany,Oklahoma",Private,Sooner Athletic Conference,scueagles.com,FOUND
Southwestern College – Kansas,NAIA,"Winfield,Kansas",Private,Kansas Collegiate Athletic Conference,southwesternpirates.com,FOUND
Spartanburg Methodist College,NAIA,"Spartanburg,South Carolina",Private,Continental Athletic Conference,gosmcpioneers.com,FOUND
Spring Arbor University,NAIA,"Spring Arbor,Michigan",Private,Crossroads League,saucougars.com,FOUND
St. Ambrose University,NAIA,"Davenport,Iowa",Private,Chicagoland Collegiate Athletic Conference,sau.edu,FOUND
St. Andrews University,NAIA,"Laurinburg,North Carolina",Private,Mid-South Conference,sauknights.com,FOUND
St. Thomas University – Florida,NAIA,"Miami Gardens,Florida",Private,Sun Conference,stubobcats.com,FOUND
Stephens College,NAIA,"Columbia,Missouri",Private,American Midwest Conference,stephensstars.com,FOUND
Sterling College – Kansas,NAIA,"Sterling,Kansas",Private,Kansas Collegiate Athletic Conference,scwarriors.com,FOUND
Tabor College,NAIA,"Hillsboro,Kansas",Private,Kansas Collegiate Athletic Conference,taborbluejays.com,FOUND
Talladega College,NAIA,"Talladega,Alabama",Private,HBCU Athletic Conference,talladegatornadoes.com,FOUND
Taylor University,NAIA,"Upland,Indiana",Private,Crossroads League,taylortrojans.com,FOUND
Tennessee Wesleyan University,NAIA,"Athens,Tennessee",Private,Appalachian Athletic Conference,twbulldogs.com,FOUND
Texas A&M University – Texarkana,NAIA,"Texarkana,Texas",Public,Red River Athletic Conference,12thman.com,FOUND
Texas College,NAIA,"Tyler,Texas",Private,Red River Athletic Conference,texaslonghorns.com,FOUND
Texas Wesleyan University,NAIA,"Fort Worth,Texas",Private,Sooner Athletic Conference,ramsports.net,FOUND
The College of Idaho,NAIA,"Caldwell,Idaho",Private,Cascade Collegiate Conference,yoteathletics.com,FOUND
The Master's University,NAIA,"Santa Clarita,California",Private,Great Southwest Athletic Conference,gomustangs.com,FOUND
Tougaloo College,NAIA,"Tougaloo,Mississippi",Private,HBCU Athletic Conference,gomajors.com,FOUND
Trinity Christian College,NAIA,"Palos Heights,Illinois",Private,Chicagoland Collegiate Athletic Conference,trollsathletics.com,FOUND
Truett-McConnell University,NAIA,"Cleveland,Georgia",Private,Appalachian Athletic Conference,truett.edu,FOUND
Union Commonwealth University,NAIA,"Barbourville,Kentucky",Private,Appalachian Athletic Conference,unionathletics.com,FOUND
University of California – Merced,NAIA,"Merced,California",Public,California Pacific Conference,calbears.com,FOUND
University of Health Sciences & Pharmacy in St. Louis (UHSP),NAIA,"Saint Louis,Missouri",Private,American Midwest Conference,uhsp.edu,FOUND
University of Michigan – Dearborn,NAIA,"Dearborn,Michigan",Public,Wolverine-Hoosier Athletic Conference,mgoblue.com,FOUND
University of Mobile,NAIA,"Mobile,Alabama",Private,Southern States Athletic Conference,umobilerams.com,FOUND
University of Montana – Western,NAIA,"Dillon,Montana",Public,Frontier Conference,gogriz.com,FOUND
University of Northwestern Ohio,NAIA,"Lima,Ohio",Private,Wolverine-Hoosier Athletic Conference,unohracers.com,FOUND
University of Pikeville,NAIA,"Pikeville,Kentucky",Private,Appalachian Athletic Conference,upike.edu,FOUND
University of Providence,NAIA,"Great Falls,Montana",Private,Frontier Conference,upargos.com,FOUND
University of Rio Grande,NAIA,"Rio Grande,Ohio",Private,River States Conference,rioredstorm.com,FOUND
University of Saint Francis – Indiana,NAIA,"Fort Wayne,Indiana",Private,Crossroads League,sfuathletics.com,FOUND
